,,Date (bop),,,22/12/2024,22/01/2025,22/02/2025,22/03/2025,22/04/2025,22/05/2025,22/06/2025,22/07/2025,22/08/2025,22/09/2025,22/10/2025,22/11/2025
,,Date (eop),,21/12/2024,21/01/2025,21/02/2025,21/03/2025,21/04/2025,21/05/2025,21/06/2025,21/07/2025,21/08/2025,21/09/2025,21/10/2025,21/11/2025,21/12/2025
,,Month,,,December,January,February,March,April,May,June,July,August,September,October,November
,,Sheet Names (Config),,,December Propsk Statement,January Propsk Statement,February Propsk Statement,March Propsk Statement,April Propsk Statement,May Propsk Statement,June Propsk Statement,July Propsk Statement,August Propsk Statement,September Propsk Statement,October Propsk Statement,November Propsk Statement
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Gross Rent Due to Propsk,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Rent Due from Propsk Old Account Amount,,,"106,143",,"1,125","6,350","18,960","20,470","21,360","17,605","7,903","6,020","6,350",,,
Rent Due from Propsk PayProp Account Amount,,,"49,587",,-,-,-,-,-,"3,690","14,005","16,084","15,808",,,
Total Rent Due From Propsk Amount,,,"155,730",,"1,125","6,350","18,960","20,470","21,360","21,295","21,908","22,104","22,158",,,
,,,,,,,,,,,,,,,,
Rent Received,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Amount Received Old Account,,,"105,653",,-,"7,475","20,085","20,470","22,800","16,475","6,665","6,458","5,225",,,
Amount received in Payprop,,,"47,777",,-,-,-,-,-,"3,690","14,390","15,384","14,313",,,
Total Rent Received By Propsk,,,"153,070",,-,"7,475","20,085","20,470","22,800","20,165","20,935","21,722","19,418",,,
,,,,,,,,,,,,,,,,
Management Fees,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Management Fee Propsk Old Account Amount,,,"(15,510)",,-,"(1,009)","(2,900)","(3,014)","(3,364)","(2,471)","(1,000)",(969),(784),,,
Management Fee Propsk Payprop Account Amount,,,"(6,944)",,-,-,-,-,-,(554),"(2,028)","(2,233)","(2,129)",,,
Management Fee Amount Total,,,"(22,454)",,-,"(1,009)","(2,900)","(3,014)","(3,364)","(3,025)","(3,028)","(3,202)","(2,913)",,,
,,,,,,,,,,,,,,,,
Expenses,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Total Propsk Old Account Expenses,,,"(7,833)",,-,"(3,080)",-,(288),(200),(639),(265),"(2,480)",(880),,,
Total Propsk PayProp Expenses,,,-,,-,-,-,-,-,-,-,-,-,,,
Total Expenses,,,"(7,833)",,-,"(3,080)",-,(288),(200),(639),(265),"(2,480)",(880),,,
,,,,,,,,,,,,,,,,
Net Due to Prestvale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Net Due to Prestvale Propsk Old Account,,,"82,310",,-,"3,386","17,185","17,167","19,236","13,365","5,400","3,009","3,561",,,
Net Due to Prestvale Propsk PayProp Account,,,"40,779",,-,-,-,-,-,"3,137","12,344","13,133","12,166",,,
Net Due to Prestvale ,,,"123,089",,-,"3,386","17,185","17,167","19,236","16,501","17,744","16,142","15,727",,,
,,,,,,,,,,,,,,,,
Rent Due Less Rent Received,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Rent Due Less Received Propsk Old Account,,,490,,"1,125","(1,125)","(1,125)",-,"(1,440)","1,130","1,238",(438),"1,125",,,
Rent Due Less Received Propsk PayProp Account,,,"1,810",,-,-,-,-,-,-,(385),700,"1,495",,,
Rent Due Less Received Total,,,"2,300",,"1,125","(1,125)","(1,125)",-,"(1,440)","1,130",853,262,"2,620",,,
,,,,,,,,,,,,,,,,
Payments From Propsk Old Account,,,,,,,,,,,,,,,,
Payment 1,,,"72,838",,£0.00,"£2,111.00","£14,606.25","£18,296.25","£17,111.56","£14,479.31","£6,233.23",£0.00,£0.00,,,
Payment 2,,,"4,519",,0,1012.5,1012.5,558.12,923.21,0,1012.5,0,0,,,
Payment 3,,,"1,013",,0,1012.5,0,0,0,0,0.00,0.00,0.00,,,
Payment 4,,,816,,0.00,816.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
Total  Rent Paid to Prestvale From Propsk Old Account,,,"79,185",,0.00,"4,952.25","15,618.75","18,854.37","18,034.77","14,479.31","7,245.73",0.00,0.00,,,
,,,,,,,,,,,,,,,,
Payments From Propsk PayProp Account,,,,,,,,,,,,,,,,
Payment 1,,,"40,746",,£0.00,£0.00,£0.00,£0.00,£0.00,629.00,11960.5,"£16,666.26",11490.47,,,
Payment 2,,,"1,013",,£0.00,£0.00,£0.00,£0.00,£0.00,"£1,012.50",0.00,£0.00,£0.00,,,
Payment 3,,,"2,507",,£0.00,£0.00,£0.00,£0.00,£0.00,"£2,507.00",0.00,£0.00,£0.00,,,
,,,,,£0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
Total  Rent Paid to Prestvale From Propsk PayProp Account,,,"44,266",,0.00,0.00,0.00,0.00,0.00,"4,148.50","11,960.50","16,666.26","11,490.47",,,
,,,,,,,,,,,,,,,,
Total Rent Paid to Prestvale Including Propsk Old Account and Propsk PayProp Account,,,"123,451",,0.00,"4,952.25","15,618.75","18,854.37","18,034.77","18,627.81","19,206.23","16,666.26","11,490.47",,,
,,,,,,"-1,566.00",,,,,,,,,,
Balance of Rent Paid and Money Owed from Propsk Old Account,,,"4,691",,0.00,,"1,566.00","-1,687.00","1,201.48","-1,114.41","-1,845.48","3,008.89","3,561.25",,,
Balance of Rent Paid and Money Owed from Propsk PayProp Account,,,"(3,487)",,0.00,0.00,0.00,0.00,0.00,"-1,012.00",383.50,"-3,533.61",675.58,,,
Balance of Rent Paid and Money Owed Total including Propsk Old Account and PayProp,,,(362),,0.00,"-1,566.00","1,566.00","-1,687.00","1,201.48","-2,126.41","-1,461.98",-524.72,"4,236.83",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Runnning Balance Rent Paid Less Rent Received Propsk Old Account,,,,,"1,125",-,"(1,125)","(1,125)","(2,565)","(1,435)",(197),(635),490,,,
Runnning Balance Rent Paid Less Rent Received PayProp Account,,,,,-,-,-,-,-,-,(385),315,"1,810",,,
Runnning Balance Rent Paid Less Rent Received ,,,,,"1,125",-,"(1,125)","(1,125)","(2,565)","(1,435)",(582),(320),"2,300",,,
Running Balance of Rent Paid and Money Owed from Propsk Old Account,,,,,0.00,0.00,"1,566.00",-121.00,"1,080.48",-33.93,"-1,879.41","1,129.48","4,690.73",,,
Running Balance of Rent Paid and Money Owed from Propsk PayProp Account,,,,,0.00,0.00,0.00,0.00,0.00,"-1,012.00",-628.50,"-4,162.11","-3,486.53",,,
Running Balance of Rent Paid and Money Owed Total including Propsk Old Account and PayProp,,,,,0.00,"-1,566.00",0.00,"-1,687.00",-485.52,"-2,611.93","-4,073.91","-4,598.63",-361.80,,,